qno,Question,Option1,Option2,Option3,Option4,CorrectAnswer,hint,explanation
1,What is the capital of France?,Berlin,London,Paris,Madrid,Paris,,
2,Which planet is known as the Red Planet?,Mars,Venus,Jupiter,Mercury,Mars,,
3,"Who wrote ""To Kill a Mockingbird""?",Harper Lee,Ernest Hemingway,J.K. Rowling,Charles Dickens,Harper Lee,,
4,What is the chemical symbol for water?,H2O,CO2,NaCl,O2,H2O,,
5,Which country is known as the Land of the Rising Sun?,Japan,China,India,Korea,Japan,,
6,What is the tallest mammal in the world?,Giraffe,Elephant,Horse,Lion,Giraffe,,
7,Who painted the Mona Lisa?,Leonardo da Vinci,Pablo Picasso,Vincent van Gogh,Claude Monet,Leonardo da Vinci,,
8,What is the capital of Canada?,Ottawa,Toronto,Vancouver,Montreal,Ottawa,,
9,Which ocean is the largest?,Pacific,Atlantic,Indian,Arctic,Pacific,,
10,Who discovered penicillin?,Alexander Fleming,Marie Curie,Isaac Newton,Albert Einstein,Alexander Fleming,,
11,What is the currency of Japan?,Yen,Euro,Dollar,Pound,Yen,,
12,What is the capital of Italy?,Rome,Milan,Venice,Florence,Rome,,
13,"Who wrote ""Romeo and Juliet""?",William Shakespeare,Emily Dickinson,Mark Twain,Jane Austen,William Shakespeare,,
14,What is the chemical symbol for gold?,Au,Ag,Fe,Cu,Au,,
15,Which country is known as the Land of the Midnight Sun?,Norway,Sweden,Finland,Canada,Norway,,
16,What is the largest organ in the human body?,Skin,Heart,Liver,Brain,Skin,,
17,Who is known as the father of modern physics?,Isaac Newton,Albert Einstein,Nikola Tesla,Stephen Hawking,Albert Einstein,,
18,What is the capital of Australia?,Canberra,Sydney,Melbourne,Brisbane,Canberra,,
19,What is the chemical symbol for silver?,Ag,Au,Cu,Fe,Ag,,
20,Which planet is closest to the sun?,Mercury,Venus,Earth,Mars,Mercury,,
21,Who painted The Starry Night?,Vincent van Gogh,Pablo Picasso,Leonardo da Vinci,Claude Monet,Vincent van Gogh,,
22,What is the capital of Spain?,Madrid,Barcelona,Seville,Valencia,Madrid,,
23,"Who wrote ""The Great Gatsby""?",F. Scott Fitzgerald,Ernest Hemingway,Mark Twain,J.D. Salinger,F. Scott Fitzgerald,,
24,What is the chemical symbol for carbon dioxide?,CO2,O2,H2O,NaCl,CO2,,
25,What is the currency of China?,Yuan,Dollar,Euro,Pound,Yuan,,
26,What is the capital of Brazil?,Brasília,São Paulo,Rio de Janeiro,Salvador,Brasília,,
27,What is the chemical symbol for sodium chloride?,NaCl,H2O,CO2,O2,NaCl,,
28,"Who wrote ""Pride and Prejudice""?",Jane Austen,Emily Dickinson,William Shakespeare,Mark Twain,Jane Austen,,
29,What is the currency of India?,Rupee,Dollar,Euro,Pound,Rupee,,
30,Which ocean is the coldest?,Arctic,Antarctic,Atlantic,Pacific,Arctic,,
31,What is the smallest country in the world by land area?,Vatican City,Monaco,Liechtenstein,Andorra,Vatican City,,
32,"Who wrote ""1984""?",George Orwell,Aldous Huxley,Ray Bradbury,William Golding,George Orwell,,
33,What is the chemical symbol for oxygen?,O2,CO2,H2O,NaCl,O2,,
34,Who was the first woman to win a Nobel Prize?,Marie Curie,Rosalind Franklin,Dorothy Hodgkin,Barbara McClintock,Marie Curie,,
35,What is the currency of Russia?,Ruble,Dollar,Euro,Pound,Ruble,,
36,What is the capital of China?,Beijing,Shanghai,Hong Kong,Taipei,Beijing,,
37,"Who wrote ""Hamlet""?",William Shakespeare,Emily Dickinson,Mark Twain,Jane Austen,William Shakespeare,,
38,What is the chemical symbol for iron?,Fe,Au,Ag,Cu,Fe,,
39,Which country is known as the Land of a Thousand Lakes?,Finland,Sweden,Norway,Canada,Finland,,
40,Which planet is known as the Blue Planet?,Earth,Mars,Venus,Mercury,Earth,,
41,Who painted the Sistine Chapel ceiling?,Michelangelo,Leonardo da Vinci,Raphael,Botticelli,Michelangelo,,
42,What is the capital of Russia?,Moscow,Saint Petersburg,Novosibirsk,Yekaterinburg,Moscow,,
